Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest_E2E_LeedOnline,Chrome 72.0.3626.119,,2019-03-06 10:41:51,2019-03-06 10:45:41,3m - 49.029s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Campus_Registration,Chrome 72.0.3626.119,,2019-03-06 10:41:52,2019-03-06 10:43:18,1m - 25.898s,PASSED
runWithCucumberRunner(testRunner.CampusRegistrationRunner),Chrome 72.0.3626.119,,2019-03-06 10:41:52,2019-03-06 10:43:18,1m - 25.481s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Project_Registration,Chrome 72.0.3626.119,,2019-03-06 10:43:18,2019-03-06 10:45:40,2m - 21.843s,PASSED
runWithCucumberRunner(testRunner.ProjectRegistrationRunner),Chrome 72.0.3626.119,,2019-03-06 10:43:18,2019-03-06 10:45:40,2m - 21.433s,PASSED
