Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest_E2E_LeedOnline,Chrome 72.0.3626.119,,2019-03-05 13:44:07,2019-03-05 13:47:59,3m - 52.207s,FAILED
,,,,,,
Test Cases/SmokeTest/TC_Campus_Registration,Chrome 72.0.3626.119,,2019-03-05 13:44:08,2019-03-05 13:45:32,1m - 24.701s,PASSED
runWithCucumberRunner(testRunner.CampusRegistrationRunner),Chrome 72.0.3626.119,,2019-03-05 13:44:08,2019-03-05 13:45:32,1m - 24.176s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Project_Registration,Chrome 72.0.3626.119,,2019-03-05 13:45:32,2019-03-05 13:47:58,2m - 25.942s,FAILED
runWithCucumberRunner(testRunner.ProjectRegistrationRunner),Chrome 72.0.3626.119,,2019-03-05 13:45:33,2019-03-05 13:47:58,2m - 25.643s,FAILED
