Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest_E2E_LeedOnline,Chrome 72.0.3626.119,,2019-03-05 11:46:07,2019-03-05 11:51:41,5m - 33.428s,FAILED
,,,,,,
Test Cases/SmokeTest/TC_Campus_Registration,Chrome 72.0.3626.119,,2019-03-05 11:46:08,2019-03-05 11:47:33,1m - 25.046s,PASSED
runWithCucumberRunner(testRunner.CampusRegistrationRunner),Chrome 72.0.3626.119,,2019-03-05 11:46:08,2019-03-05 11:47:33,1m - 24.555s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Project_Verification,Chrome 72.0.3626.119,,2019-03-05 11:47:33,2019-03-05 11:49:21,1m - 48.094s,PASSED
runWithCucumberRunner(testRunner.ProjectVerificationRunner),Chrome 72.0.3626.119,,2019-03-05 11:47:33,2019-03-05 11:49:21,1m - 47.766s,PASSED
,,,,,,
Test Cases/SmokeTest/TC_Project_Registration,Chrome 72.0.3626.119,,2019-03-05 11:49:21,2019-03-05 11:51:40,2m - 19.057s,FAILED
runWithCucumberRunner(testRunner.ProjectRegistrationRunner),Chrome 72.0.3626.119,,2019-03-05 11:49:21,2019-03-05 11:51:40,2m - 18.790s,FAILED
