Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest_E2E_LeedOnline,Chrome 72.0.3626.119,,2019-03-01 19:31:39,2019-03-01 19:34:45,3m - 5.984s,FAILED
,,,,,,
Test Cases/SmokeTest/TC_Project_Registration,Chrome 72.0.3626.119,,2019-03-01 19:31:40,2019-03-01 19:33:44,2m - 4.451s,FAILED
runWithCucumberRunner(testRunner.ProjectRegistrationRunner),Chrome 72.0.3626.119,,2019-03-01 19:31:40,2019-03-01 19:33:44,2m - 4.009s,FAILED
,,,,,,
Test Cases/SmokeTest/TC_Campus_Registration,Chrome 72.0.3626.119,,2019-03-01 19:33:44,2019-03-01 19:34:45,1m - 0.567s,PASSED
runWithCucumberRunner(testRunner.CampusRegistrationRunner),Chrome 72.0.3626.119,,2019-03-01 19:33:44,2019-03-01 19:34:45,1m - 0.438s,PASSED
